Description,ASIN,Manufacturer,Product Info
,B01MSRADRY,,"[{'Product': 'QUICK ACCESS POCKET', 'Additional Info': 'Keep the things that you will need at a moment’s notice, like your glasses, your earphones, your keys and the works'}, {'Product': 'HUGE LAPTOP SLEEVE', 'Additional Info': 'A spacious sleeve that can easily hold a laptop sized upto 17 inches'}, {'Product': 'SPACIOUS INTERIORS', 'Additional Info': 'Enough space for your laptop, diary, books, stationery and more'}]"
"['Laptop Compatibility: Yes, Laptop size: 15.6 inches', 'Outer Material: Polyester, Color: Black', 'Water Resistance: Water resistant', 'Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)', 'Warranty type: Manufacturer; 12 months warranty against manufacturing defects']",B01LXNNFDF,,"[{'Product': 'Ergonomically Designed', 'Additional Info': 'The Laptop Bag by Urban Tribe is a well structured and ergonomically designed. It is has spacious compartments as well as an anti-clutter mobile phone charging compartment. The bag is very handy and provides comfort to the user. Carry it in style.'}, {'Product': 'Extra Charging Compartment', 'Additional Info': 'The bag has a separate mobile phone charging compartment to give you an anti-clutter experience while you charge your phone.'}, {'Product': 'Spacious Compartment', 'Additional Info': 'The bag has a spacious main compartment where you can carry your belongings such as your notebooks, pens, laptop, mobile etc. It is perfect for college going students who are looking for design and functionality, all in a single bag.'}, {'Product': 'Withstand heavy weight', 'Additional Info': 'The bag is made of Polyester, making it durable and resistant to water, wear-and-tear thus making it sturdy enough to withstand heavy weight. Carry your laptop, books, mobile, wallet etc. with this bag all at once.'}]"
"['30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.', 'Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.', 'Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.', 'Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks', '1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty', 'Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.']",B084JGJ8PF,"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039","[{'Product': 'Ergonomic Contoured Shape', 'Additional Info': 'With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!'}, {'Product': 'Fits Your Laptop', 'Additional Info': 'Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches.'}, {'Product': 'Strong and Lightweight', 'Additional Info': 'Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain.'}]"
"['Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No', 'Outer Material: Polyester, Color: Black', 'Water Resistance: Water resistant , not Waterproof', 'Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters', 'Number of Wheels: 0, Number of compartments: 3', 'Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of', 'Mesh pockets on both sides to accommodate your sipper or bottle and umbrella', 'Mesh Padding on back & shoulder strap to provide comfort & better back support']",B07CJCGM1M,0.48 Kilograms,[]
"[""MATERIAL - We use of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life."", 'Waterproof - With this unisex duffle bag, you can be rest assured that none of your belongings will be damaged by rain or accidental splashes. The interiors of this water-resistant travel duffle bag remain free from moisture even if you get caught in an unexpected shower.', 'Dimensions: 47 x 28 x 27 CM. Volume Capacity - 35 Litres. Huge Spacious Compartment', 'Design - This stylish yet utilitarian textured leatherette duffle bag can be used for corporate travel as well as to take to the gym. The Large Spacious Compartment is suitable for 3-4 days weekender or business trip, can be used as a carry-on flight bag as well.', 'Warranty - Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects', 'Warranty - 100% Genuine Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects']",B07M9BRCQ5,,"[{'Product': 'Artificial Leather Material', 'Additional Info': 'The presence of artificial leather material in this smart duffle bag makes it tough and durable. The fabric is durable and long lasting.'}, {'Product': 'Water Resistant Fabric', 'Additional Info': 'The textured PU Leather Fabric is water resistant in nature which means any small splashes and your items inside the bag will still be safe. However, we recommend you to be careful during heavy rain as the zips are never 100% waterproof and thus extra caution is recommended.'}, {'Product': 'Fit-For-All Occasions', 'Additional Info': 'This stylish backpack has been crafted with a special focus on the looks as well. The visually appealing appearance of the product can fit into any occasion without much adjustment.'}, {'Product': 'Spacious Compartment', 'Additional Info': 'With a huge compartment in this bag, the user can have ample space for storage. The large compartment is suitable for 3 to 4 days weekender or business trip. It can also be used as a carry-on flight bag as well.'}, {'Product': 'Zipper Closure', 'Additional Info': 'The traditional zipper closure remains a constant as well. This can give the user with an easy access to the contents inside during need. The smooth zipper operation adds a sense of convenience into the overall user experience.'}, {'Product': 'Ergonomic Grab Handles', 'Additional Info': 'There are two padded grab handles and a single long strap present in the bag for carrying. The user can use either of the two options as per the convenience. This flexibility is another highlight of the product.'}]"
"['Convenient for clean-up and garbage disposal', ""Multifunctional use; ideal for office, hotels, household use, parties, baby diapers, and clearing pet's litter"", 'Detachable tie-tape to tie up bag after use', 'Dimensions - 43 cms x 48 cms; Size: Small', 'Oxo-Biodegradable Garbage Bags for your home and kitchen', 'Package Contents - 6 Rolls of Oxo-Biodegradable Garbage Bags; Quantity: 30 per roll; Colour: Black']",India,180 count,"Presto! Offers Oxo-Biodegradable Garbage Bags To Help You Maintain Cleanliness And Hygiene In Your House, Office And Surroundings. These Garbage Bags Make Clean-Up And Garbage Disposal A Hassle-Free Task While Being Easy On The Environment! Line Them Up In Your Bedroom Or Bathroom Dustbins Or Use Them To Segregate Dry And Wet Waste In The Kitchen. Effectively Clear Out Messy Trash Like Baby Diapers And Kitty Litter! Handy At Offices Or Hotels, TheyRe Useful For Getting Rid Of Leftover Party Plates And Garbage As Well. They Come With A Detachable Tie-Tape Which Lets You Neatly Tie Up The Bag, Making It Easier To Carry Out After Use. These Small-Sized Bags Easily Fit Any Small Dustbins. They Are Available In Black Colour In A Pack Of 6 Rolls, And Each Roll Contains 30 Bags For Your Convenience."
"['Carry this spacious, convenient backpack from Amazon Basics to college or work.', 'Laptop compartment: It features a dedicated compartment that can easily fit a laptop up to 15.6 inches.', 'Other storage: It also contains a spacious compartment and a quick-access front pocket.', 'Durable build: It Is made from fabric with a polyester lining. Both feature PU coating.', 'Dimensions: 45.5 x 34 x 13 cm', 'Capacity: 20 l', 'Colour: Dual grey']",B0C8NSJ4RD,"Outshiny India Pvt. Ltd., Outshiny India Pvt. Ltd. No.17, Ganesh Nagar, 8th B Cross Narayanappa Layout, Kodigehalli Bengaluru - 560097..","Use this spacious, convenient backpack from Amazon Basics for college or work. It features a 15.6-inch laptop compartment, a spacious compartment and a quick-access front pocket. It Is made from fabric with a polyester lining, both with PU coating. Get this high-quality product at a great price from Amazon Basics."
"['With a functional design, this Amazon Basics Laptop backpack has a single padded compartment for carrying any laptop up to 15.6 inches size easily and safely.', '2 small zippered compartments that are best suited for storage.', 'Shoulder-friendly adjustable straps ensuring perfect fit.', 'Stylish look, ergonomic design, robust and made from durable, water repellent and wear resistant polyester material for long life.', 'Carry your laptop comfortably and safely in the this convenient and spacious Laptop Backpack.', 'Convenient and Versatile, suitable for various occasions.', 'Bag Volume, Weight and Size: 24L; 0.530 kg; 48 x 16.5 x 32 cm', 'Colour: Melange Slub Grey']",B09W3XLDM2,"TORG INDIA PVT. LTD., TORG INDIA PVT. LTD. #6, Samarpan Enclave, ECC Road, Whitefield, Bangalore,Karnataka 560066, India, Ph: +91 9620199222, avisekm@torgusa.com","[{'Product': 'Water Repellent & Wear Resistant', 'Additional Info': 'The premium quality polyester used to make this bag, repells water without absorbing it to keep your laptop safe. The sturdy material is wear resistant which makes the bag durable and longer lasting.'}, {'Product': 'Adjustable Shoulder Straps', 'Additional Info': 'The adjustable shoulder straps ensure a snug fit which distributes weight evenly across your shoulders, making it easy to carry the bag wherever you go'}, {'Product': 'Multipurpose', 'Additional Info': 'The laptop bagpack is perfect for daily use. The convenience of two zippered compartments allows you to comfortably store mobile phones, chargers and other smaller items. You can also use it as an overnight bag for a weekend getaway'}]"
"['Made up of long lasting durable water resistant & Waterproof Nylon Material. It is good to use as small Travel bags for women and ladies.', 'NORMAL DIMENSION:41 x 22 x 26 CM', 'ZIP CLOSURE - This travel duffel Bag comes with 2 inside small pocket + 1 Main pocket + 1 small Dry wet pocket + 1 Front Small Zipper Pocket. It is mostly suitavble for carry cosmetics and other essensial items with different pockets.', 'EASY TO CARRY - Handbag you can carry it by hand or carry it on your shoulder, or you can easily place it on your luggage through the fixed belt design on the back, which is convenient for storage and transportation, and makes travel more convenient.', 'WIDE RANGE OF APPLICATIONS - Waterproof dry bag gym, Sports, Travel, Weekend, Luggage, Carry-on Bag, Shopping Bag, Beach Bag, Hiking and Camping. Suitable for women, men, teens and big kids, great idea as personal item for airline travel and emergency spare bag in the suitcase.']",Pouch bag Sakura Pink,,"JD Fresh Travel Duffle Bag, Expandable Folding Travel Bag for Women, Lightweight Waterproof Carry Overnight Luggage Bag for Travel (Maroon,40 x 23 x 45cm)"
,,,[]
